Date,Event_Category,Event_Type,Sport,Opponent,Description,Weekday,Parking_Transactions,Is_Weekend
2023-10-30,Sports,HOME_GAME,BASKETBALL,QUINCY,,Monday,4166,False
2023-11-07,Sports,HOME_GAME,BASKETBALL,NORTH DAKOTA,,Tuesday,4200,False
2023-11-27,Academic,CLASS_RESUME,,,Classes resume,Monday,3958,False
2023-11-29,Sports,HOME_GAME,BASKETBALL,NORTH FLORIDA,,Wednesday,4313,False
2023-12-11,Academic,FINALS_START,,,Final Examination Week Start,Monday,4037,False
2023-12-14,Academic,COMMENCEMENT_START,,,Commencement ceremonies Start,Thursday,4050,False
2024-01-24,Sports,HOME_GAME,BASKETBALL,MARYLAND,,Wednesday,4265,False
2024-02-02,Sports,HOME_GAME,BASKETBALL,OHIO STATE,,Friday,3956,False
2024-02-20,Sports,HOME_GAME,BASEBALL,LORAS,,Tuesday,4455,False
2024-02-27,Sports,HOME_GAME,BASKETBALL,PENN STATE,,Tuesday,4369,False
2024-02-27,Sports,HOME_GAME,BASEBALL,NORTHERN ILLINOIS,,Tuesday,4369,False
2024-03-05,Sports,HOME_GAME,BASEBALL,ST. THOMAS,,Tuesday,4376,False
2024-03-18,Academic,CLASS_RESUME,,,Classes resume,Monday,4088,False
2024-03-19,Sports,HOME_GAME,BASKETBALL,KANSAS STATE,,Tuesday,4401,False
2024-03-19,Sports,HOME_GAME,BASEBALL,GRAND VIEW,,Tuesday,4401,False
2024-03-29,Sports,HOME_GAME,BASEBALL,MINNESOTA,,Friday,3998,False
2024-04-05,Sports,HOME_GAME,BASEBALL,MICHIGAN,,Friday,3899,False
2024-04-10,Sports,HOME_GAME,BASEBALL,ST. THOMAS,,Wednesday,4734,False
2024-04-17,Sports,HOME_GAME,BASEBALL,BRADLEY,,Wednesday,4410,False
2024-04-23,Sports,HOME_GAME,BASEBALL,MILWAUKEE,,Tuesday,4408,False
2024-04-30,Sports,HOME_GAME,BASEBALL,ILLINOIS STATE,,Tuesday,4391,False
2024-05-01,Sports,HOME_GAME,BASEBALL,NORTH DAKOTA STATE,,Wednesday,4395,False
2024-05-06,Academic,FINALS_START,,,Final Examination Week Start,Monday,4067,False
2024-05-09,Academic,COMMENCEMENT_START,,,Commencement ceremonies Start,Thursday,3922,False
2024-08-26,Academic,CLASS_START,,,Opening of Classes,Monday,4243,False
2024-10-25,Sports,HOME_GAME,BASKETBALL,MINNESOTA-DULUTH,,Friday,4366,False
2024-11-04,Sports,HOME_GAME,BASKETBALL,TEXAS A&M COMMERCE,,Monday,4481,False
2024-11-07,Sports,HOME_GAME,BASKETBALL,SOUTHERN,,Thursday,4408,False
2024-11-12,Sports,HOME_GAME,BASKETBALL,SOUTH DAKOTA,,Tuesday,4636,False
2024-11-19,Sports,HOME_GAME,BASKETBALL,RIDER,,Tuesday,4614,False
2024-12-02,Academic,CLASS_RESUME,,,Classes resume,Monday,4441,False
2024-12-03,Sports,HOME_GAME,BASKETBALL,NORTHWESTERN,,Tuesday,4591,False
2024-12-12,Sports,HOME_GAME,BASKETBALL,#3 IOWA STATE,,Thursday,4515,False
2024-12-13,Academic,CLASS_END,,,Close of Classes,Friday,4169,False
2024-12-16,Academic,FINALS_START,,,Final Examination Week Start,Monday,4241,False
2024-12-19,Academic,COMMENCEMENT_START,,,Commencement ceremonies Start,Thursday,4197,False
2025-01-21,Academic,CLASS_START,,,Opening of Classes,Tuesday,3983,False
2025-01-21,Sports,HOME_GAME,BASKETBALL,MINNESOTA,,Tuesday,3983,False
2025-01-24,Sports,HOME_GAME,BASKETBALL,PENN STATE,,Friday,4029,False
2025-02-04,Sports,HOME_GAME,BASKETBALL,#7 PURDUE,,Tuesday,4665,False
2025-02-07,Sports,HOME_MATCH,WRESTLING,#7 NEBRASKA,,Friday,4104,False
2025-02-19,Sports,HOME_GAME,BASKETBALL,OREGON,,Wednesday,4413,False
2025-03-03,Sports,HOME_GAME,BASEBALL,LORAS,,Monday,4561,False
2025-03-06,Sports,HOME_GAME,BASKETBALL,#8 MICHIGAN STATE,,Thursday,4660,False
2025-03-11,Sports,HOME_GAME,BASEBALL,AUGUSTANA,,Tuesday,4616,False
2025-03-24,Academic,CLASS_RESUME,,,Classes resume,Monday,4534,False
2025-04-08,Sports,HOME_GAME,BASEBALL,MILWAUKEE,,Tuesday,4957,False
2025-04-11,Sports,HOME_GAME,BASEBALL,NEBRASKA,,Friday,4248,False
2025-04-16,Sports,HOME_GAME,BASEBALL,BRADLEY,,Wednesday,5004,False
2025-04-22,Sports,HOME_GAME,BASEBALL,WESTERN ILLINOIS,,Tuesday,4939,False
2025-04-23,Sports,HOME_GAME,BASEBALL,ST. THOMAS,,Wednesday,4940,False
2025-04-25,Sports,HOME_GAME,BASEBALL,INDIANA,,Friday,4143,False
2025-04-29,Sports,HOME_GAME,BASEBALL,ILLINOIS STATE,,Tuesday,4789,False
