,total_transactions,peak_daily_usage,avg_daily_usage,peak_hour,peak_hour_count,peak_academic_period,weekend_usage_pct
10,555897,318,216.57142857142858,8,117218,medium,12.055290818263096
11,520485,262,155.73469387755102,7,85010,medium,12.184597058512733
70,441836,332,202.78865979381445,18,120923,low,36.178129441693294
80,437210,311,211.26666666666668,6,113144,medium,15.974474508817273
50,337506,254,151.63131313131314,6,40737,low,30.985523220327938
30,299084,240,161.8622448979592,18,63649,low,23.23661580024341
6,226069,150,97.35204081632654,6,59019,medium,19.31180303358709
3,222752,74,40.78865979381443,8,40940,medium,7.68702413446344
40,177341,166,133.78571428571428,7,69527,medium,0.0219915304413531
13,153026,109,69.27551020408163,8,34902,medium,8.827258113000406
